Aceitunas y Olivas;115;483
Aguacate;160;672
Albaricoque y Chabacano;48;202
Arandanos;57;239
Arandanos;46;193
Asai;70;294
Caqui y Persimon;127;533
Carambola y Fruta estrella;31;130
Cerezas;50;210
Ciruela;46;193
Ciruela verde;41;172
Clementina;47;197
Compota y Pure de manzana;68;286
Datiles;282;1184
Frambuesa;52;218
Fresas y Frutillas;32;134
Granada;83;349
Grosella;56;235
Guayaba;68;286
Higo chumbo y Tuna;37;155
Higos;74;311
Kiwi;61;256
Lichi;66;277
Lima;30;126
Limon;29;122
Macedonia y Ensalada de frutas;50;210
Mandarinas;53;223
Mango;60;252
Manzana;52;218
Maracuya;97;407
Melocoton y Durazno;39;164
Melon;36;151
Melon amarillo;55;231
Melon cantalup;34;143
Melon de galia;26;109
Membrillo;57;239
Moras;43;181
Moras;43;181
Naranja;47;197
Naranja roja y sanguina;50;210
Nectarina;44;185
Papaya y Mamon;43;181
Pasas y Pasas de uva;299;1256
Pera;57;239
Physalis;49;206
Piña y Anana;50;210
Platano y Banana;89;374
Platano macho;122;512
Pomelo y Toronja;42;176
Rambutan;82;344
Ruibarbo;21;88
Sandia;30;126
Tamarindo;239;1004
Uvas;69;290
Yaca;95;399
Pizza mexicana;260;1092;14
Pizza mozzarella;249;1046;14
Pizza napoli;202;848;14
Pizza pepperoni;255;1071;14
Pizza salami;255;1071;14
Pizza siciliana;241;1012;14
Pizza vegetariana;256;1075;14
Quiche de jamon y queso;182;764;14
Quiche vegetal;176;739;14
Rollo de pizza;247;1037;14
Rosca de jamon y queso;289;1214;14
Rosca de lomo, bacon y panceta y queso;298;1252;14
Babybel;333;1399;15
Burratta;281;1180;15
Fondue de queso;228;958;15
Fontina;389;1634;15
Grana-padano;384;1613;15
Halloumi;321;1348;15
Havarti;371;1558;15
Jarlsberg;352;1478;15
Mascarpone;369;1550;15
Mozzarella;280;1176;15
Parmesano rallado;431;1810;15
Pecorino;387;1625;15
Provolone;351;1474;15
Queso a la parrilla;350;1470;15
Queso asadero;356;1495;15
Queso Asiago;392;1646;15
Queso azul;353;1483;15
Queso blando;268;1126;15
Queso Brie;334;1403;15
Queso Camembert;300;1260;15
Queso cheddar;403;1693;15
Queso Cheshire;387;1625;15
Queso Chihuahua;374;1571;15
Queso cottage;98;412;15
Queso cremoso;290;1218;15
Queso de Burgos;203;853;15
Queso de cabra;364;1529;15
Queso de Cabrales;392;1646;15
Queso de oveja;364;1529;15
Queso edam;357;1499;15
Queso emmental;357;1499;15
Queso Feta;264;1109;15
Queso fresco y blanco;98;412;15
Queso Gorgonzola;350;1470;15
Queso gouda;356;1495;15
Queso gruyer;413;1735;15
Queso holandes;393;1651;15
Queso italiano;397;1667;15
Queso maasdam;344;1445;15
Queso manchego;320;1344;15
Queso manchego curado;476;1999;15
Queso manchego semicurado;391;1642;15
Queso muenster;368;1546;15
Queso neufchâtel;253;1063;15
Queso Oaxaca;356;1495;15
Queso panela;260;1092;15
Queso parmesano;431;1810;15
Queso roquefort;369;1550;15
Queso suizo;380;1596;15
Raclette;357;1499;15
Requeson;174;731;15
Stilton;393;1651;15
Arroz con leche;118;496;2
Chocolate caliente;89;374;2
Crema chantilli;266;1117;2
Crema para cafe;195;819;2
Crème fraîche;393;1651;2
Cuajada;98;412;2
Horchata;85;357;2
Kefir;55;231;2
Lassi;75;315;2
Leche;61;256;2
Leche condensada;321;1348;2
Leche de almendra;17;71;2
Leche de arroz;49;206;2
Leche de cabra;69;290;2
Leche de coco;230;966;2
Leche de soja y soya;45;189;2
Leche desnatada y descremada;35;147;2
Leche en polvo;496;2083;2
Leche entera;61;256;2
Leche evaporada;321;1348;2
Leche merengada;81;340;2
Leche preparada;110;462;2
Leche semidesnatada y parcialmente descremada;50;210;2
Leche sin lactosa;52;218;2
Mousse de chocolate;225;945;2
Nata y Crema;242;1016;2
Nata y Crema agria;181;760;2
Nata montada y Crema batida;257;1079;2
Pudin de semola;67;281;2
Requeson y Cottage y Ricota;98;412;2
Suero de mantequilla;62;260;2
Tzatziki;117;491;2
Yogur;61;256;2
Esrom;322;1352;15;15
Fol Epi;388;1630;15;15
Gouda joven;356;1495;15;15
Grana-padano;384;1613;15;15
Havarti;371;1558;15;15
Queso a la pimienta;100;420;15;15
Queso ahumado;410;1722;15;15
Queso alpino;418;1756;15;15
Queso Cheddar;403;1693;15;15
Queso de sandwich;148;622;15;15
Queso edam;357;1499;15;15
Queso emmental;357;1499;15;15
Queso en lonchas y fetas;356;1495;15;15
Queso gouda;356;1495;15;15
Queso leerdammer;284;1193;15;15
Queso maasdam;344;1445;15;15
Queso manchego curado;476;1999;15;15
Queso manchego semicurado;391;1642;15;15
Queso mantequilla;388;1630;15;15
Queso Mozzarella;280;1176;15;15
Queso muenster;368;1546;15;15
Queso Tilsit;340;1428;15;15
Tabla de quesos;357;1499;15;15
Activia;74;311;16
Activia fresa y frutilla;97;407;16
Activia limon;100;420;16
Ayran;42;176;16
Yogur;61;256;16
Yogur bajo en grasa;63;265;16
Yogur con cereales;48;202;16
Yogur con muesli;109;458;16
Yogur cremoso;90;378;16
Yogur de arandanos;105;441;16
Yogur de cereza;97;407;16
Yogur de chocolate;128;538;16
Yogur de coco;81;340;16
Yogur de fresa y frutilla;100;420;16
Yogur de fruta;97;407;16
Yogur de macedonia;84;353;16
Yogur de melocoton y durazno;97;407;16
Yogur de moca;100;420;16
Yogur de stracciatella;139;584;16
Yogur de vainilla;101;424;16
Yogur desnatado;56;235;16
Yogur griego;53;223;16
Yogur griego sin azucarar;78;328;16
Yogur light;54;227;16
Yogur organico;75;315;16
Yogur probiotico;80;336;16
Cottage y Requeson;98;412;15;16
Mascarpone;450;1890;15;16
Obatzda;303;1273;15;16
Queso crema;342;1436;15;16
Queso crema con ajo;342;1436;15;16
Queso crema con cebollino;342;1436;15;16
Queso crema con hierbas;342;1436;15;16
Queso crema con nueces;342;1436;15;16
Queso crema con olivas;342;1436;15;16
Queso crema con pesto;342;1436;15;16
Queso crema con piña;342;1436;15;16
Queso crema con salmon;342;1436;15;16
Queso crema feta;342;1436;15;16
Queso crema philadelphia;342;1436;15;16
Queso crema vegetal;342;1436;15;16
Queso de cabra;364;1529;15;16
Rabano picante;48;202;15;16
